idnumber,materials,word,list1,list2,list3,,,,,
167,1,soldier,,,,,,,,
167,1,spider,,,,,,,,
167,1,stove,,,,,,,,
167,1,tent,,,,,,,,
167,1,trout,,,,,,,,
167,1,turtle,,,,,,,,
167,1,violin,,,,,,,,
167,1,whistle,,,,,,,,
167,1,wolf,,,,,,,,
173,1,baby,,,,,,,,
173,1,bee,,,,,,,,
173,1,doll,,,,,,,,
173,1,drum,,,,,,,,
173,1,duck,,,,,,,,
173,1,engineer,,,,,,,,
173,1,hat,,,,,,,,
173,1,journal,,,,,,,,
173,1,kite,,,,,,,,
173,1,minister,,,,,,,,
173,1,owl,,,,,,,,
173,1,purse,,,,,,,,
173,1,python,,,,,,,,
173,1,rake,,,,,,,,
173,1,slipper,,,,,,,,
173,1,soldier,,,,,,,,
173,1,spider,,,,,,,,
173,1,stove,,,,,,,,
173,1,tent,,,,,,,,
173,1,trout,,,,,,,,
173,1,turtle,,,,,,,,
173,1,violin,,,,,,,,
173,1,whistle,,,,,,,,
173,1,wolf,,,,,,,,
176,1,baby,,,,,,,,
176,1,bee,,,,,,,,
176,1,doll,,,,,,,,
176,1,drum,,,,,,,,
176,1,duck,,,,,,,,
176,1,engineer,,,,,,,,
176,1,hat,,,,,,,,
176,1,journal,,,,,,,,
176,1,kite,,,,,,,,
176,1,minister,,,,,,,,
176,1,owl,,,,,,,,
176,1,purse,,,,,,,,
176,1,python,,,,,,,,
176,1,rake,,,,,,,,
176,1,slipper,,,,,,,,
176,1,soldier,,,,,,,,
176,1,spider,,,,,,,,
176,1,stove,,,,,,,,
176,1,tent,,,,,,,,
176,1,trout,,,,,,,,
176,1,turtle,,,,,,,,
176,1,violin,,,,,,,,
176,1,whistle,,,,,,,,
176,1,wolf,,,,,,,,
182,1,baby,,,,,,,,
182,1,bee,,,,,,,,
182,1,doll,,,,,,,,
182,1,drum,,,,,,,,
182,1,duck,,,,,,,,
182,1,engineer,,,,,,,,
182,1,hat,,,,,,,,
182,1,journal,,,,,,,,
182,1,kite,,,,,,,,
182,1,minister,,,,,,,,
182,1,owl,,,,,,,,
182,1,purse,,,,,,,,
182,1,python,,,,,,,,
182,1,rake,,,,,,,,
182,1,slipper,,,,,,,,
182,1,soldier,,,,,,,,
182,1,spider,,,,,,,,
182,1,stove,,,,,,,,
182,1,tent,,,,,,,,
182,1,trout,,,,,,,,
182,1,turtle,,,,,,,,
182,1,violin,,,,,,,,
182,1,whistle,,,,,,,,
182,1,wolf,,,,,,,,
185,1,baby,,,,,,,,
185,1,bee,,,,,,,,
185,1,doll,,,,,,,,
185,1,drum,,,,,,,,
185,1,duck,,,,,,,,
185,1,engineer,,,,,,,,
185,1,hat,,,,,,,,
185,1,journal,,,,,,,,
185,1,kite,,,,,,,,
185,1,minister,,,,,,,,
185,1,owl,,,,,,,,
185,1,purse,,,,,,,,
185,1,python,,,,,,,,
