idnumber,materials,word,list1,list2,list3
173,1,baby,1,1,1
173,1,bee,0,1,1
173,1,doll,0,1,1
173,1,drum,0,0,1
173,1,duck,0,0,1
173,1,engineer,1,1,1
173,1,hat,1,1,0
173,1,journal,0,0,1
173,1,kite,0,1,1
173,1,minister,1,1,1
173,1,owl,1,1,1
173,1,purse,1,1,1
173,1,python,1,1,1
173,1,rake,0,1,1
173,1,slipper,1,1,1
173,1,soldier,1,1,1
173,1,spider,1,1,1
173,1,stove,1,1,1
173,1,tent,1,0,0
173,1,trout,0,1,1
173,1,turtle,0,1,1
173,1,violin,0,0,0
173,1,whistle,1,0,1
173,1,wolf,1,1,1
176,1,baby,0,1,0
176,1,bee,0,1,0
176,1,doll,0,1,1
176,1,drum,0,0,0
176,1,duck,0,1,1
176,1,engineer,1,0,0
176,1,hat,0,0,0
176,1,journal,1,0,0
176,1,kite,0,0,1
176,1,minister,1,1,1
176,1,owl,1,0,0
176,1,purse,0,0,1
176,1,python,0,1,1
176,1,rake,1,1,0
176,1,slipper,0,0,1
176,1,soldier,0,1,1
176,1,spider,1,1,1
176,1,stove,0,0,1
176,1,tent,1,1,0
176,1,trout,0,0,0
176,1,turtle,1,0,0
176,1,violin,0,0,1
176,1,whistle,1,1,1
176,1,wolf,0,0,1
182,1,baby,0,0,1
182,1,bee,0,0,1
182,1,doll,0,0,0
182,1,drum,0,1,1
182,1,duck,1,1,1
182,1,engineer,0,1,1
182,1,hat,0,0,0
182,1,journal,0,1,1
182,1,kite,0,1,1
182,1,minister,1,0,1
182,1,owl,0,0,0
182,1,purse,0,0,1
182,1,python,1,1,1
182,1,rake,0,0,0
182,1,slipper,0,0,1
182,1,soldier,0,1,1
182,1,spider,0,0,0
182,1,stove,0,1,1
182,1,tent,1,1,0
182,1,trout,0,0,1
182,1,turtle,0,0,0
182,1,violin,0,1,1
182,1,whistle,0,0,0
182,1,wolf,0,0,1
185,1,baby,1,1,0
185,1,bee,0,1,1
185,1,doll,0,0,1
185,1,drum,0,0,0
185,1,duck,0,0,0
185,1,engineer,0,1,1
185,1,hat,0,1,0
185,1,journal,0,0,1
185,1,kite,0,1,1
185,1,minister,1,0,0
185,1,owl,1,0,0
185,1,purse,0,0,1
185,1,python,1,1,1
185,1,rake,1,1,1
185,1,slipper,0,0,0
185,1,soldier,0,0,1
185,1,spider,0,0,1
185,1,stove,0,0,0
185,1,tent,0,0,0
185,1,trout,0,1,0
185,1,turtle,1,0,1
185,1,violin,0,1,0
185,1,whistle,0,0,1
185,1,wolf,0,0,1
188,1,baby,0,0,1
188,1,bee,1,1,1
188,1,doll,0,0,0
188,1,drum,0,0,0
188,1,duck,0,1,1
188,1,engineer,1,1,1
188,1,hat,1,1,1
188,1,journal,0,0,1
188,1,kite,1,1,0
188,1,minister,0,0,1
188,1,owl,0,1,1
188,1,purse,0,1,1
188,1,python,1,1,1
188,1,rake,0,0,0
188,1,slipper,0,1,0
188,1,soldier,0,0,0
188,1,spider,0,0,1
188,1,stove,1,0,1
188,1,tent,0,0,0
188,1,trout,0,1,1
188,1,turtle,0,0,1
188,1,violin,0,0,0
188,1,whistle,0,0,0
188,1,wolf,0,0,0
191,1,baby,0,1,1
191,1,bee,1,0,1
191,1,doll,0,1,1
191,1,drum,0,0,0
191,1,duck,1,1,0
191,1,engineer,1,1,1
191,1,hat,0,1,1
191,1,journal,0,0,0
191,1,kite,1,0,1
191,1,minister,1,1,0
191,1,owl,0,1,1
191,1,purse,0,0,1
191,1,python,0,1,1
191,1,rake,0,0,1
191,1,slipper,0,0,1
191,1,soldier,1,0,1
191,1,spider,0,1,0
191,1,stove,1,1,0
191,1,tent,1,1,1
191,1,trout,1,0,1
191,1,turtle,1,0,1
191,1,violin,0,1,1
191,1,whistle,0,1,1
191,1,wolf,0,0,1
194,1,baby,0,1,1
194,1,bee,1,1,1
194,1,doll,0,0,0
194,1,drum,0,0,0
194,1,duck,1,1,1
194,1,engineer,1,1,1
194,1,hat,1,1,1
194,1,journal,0,0,0
194,1,kite,0,0,0
194,1,minister,1,1,1
194,1,owl,0,0,1
194,1,purse,1,1,1
194,1,python,0,1,1
194,1,rake,0,0,0
194,1,slipper,0,0,0
194,1,soldier,0,1,1
194,1,spider,1,1,1
194,1,stove,0,0,0
194,1,tent,0,0,1
194,1,trout,0,0,0
194,1,turtle,0,0,1
194,1,violin,0,1,0
194,1,whistle,1,1,1
194,1,wolf,0,0,1
197,1,baby,0,0,0
197,1,bee,0,0,0
197,1,doll,0,1,1
197,1,drum,0,0,0
197,1,duck,0,0,0
197,1,engineer,1,1,1
197,1,hat,0,0,0
197,1,journal,0,0,0
197,1,kite,0,0,0
197,1,minister,0,0,1
197,1,owl,0,1,1
197,1,purse,0,1,1
197,1,python,1,0,1
197,1,rake,0,0,0
197,1,slipper,0,0,0
197,1,soldier,0,0,0
197,1,spider,0,0,0
197,1,stove,0,0,0
197,1,tent,0,0,0
197,1,trout,0,0,0
197,1,turtle,0,1,1
197,1,violin,1,0,0
197,1,whistle,1,1,1
197,1,wolf,1,1,0
200,1,baby,1,1,1
200,1,bee,1,0,1
200,1,doll,0,1,1
200,1,drum,0,0,0
200,1,duck,0,1,1
200,1,engineer,0,1,1
200,1,hat,1,1,1
200,1,journal,0,1,0
200,1,kite,0,0,1
200,1,minister,1,1,1
200,1,owl,1,1,1
200,1,purse,1,1,1
200,1,python,1,1,1
200,1,rake,0,0,1
200,1,slipper,1,1,1
200,1,soldier,0,1,0
200,1,spider,0,1,1
200,1,stove,0,1,1
200,1,tent,1,1,0
200,1,trout,1,1,0
200,1,turtle,1,0,0
200,1,violin,0,0,0
200,1,whistle,0,0,1
200,1,wolf,0,1,0
203,1,baby,1,1,1
203,1,bee,1,1,0
203,1,doll,0,0,0
203,1,drum,1,1,1
203,1,duck,0,0,0
203,1,engineer,0,1,0
203,1,hat,1,0,0
203,1,journal,0,1,1
203,1,kite,0,0,1
203,1,minister,0,1,0
203,1,owl,1,1,1
203,1,purse,0,0,1
203,1,python,1,1,0
203,1,rake,0,0,0
203,1,slipper,0,0,0
203,1,soldier,0,0,0
203,1,spider,1,1,1
203,1,stove,0,0,0
203,1,tent,0,0,1
203,1,trout,0,0,1
203,1,turtle,0,0,1
203,1,violin,0,1,1
203,1,whistle,0,0,0
203,1,wolf,0,0,1
206,1,baby,0,0,0
206,1,bee,1,0,1
206,1,doll,0,0,0
206,1,drum,1,1,0
206,1,duck,1,1,1
206,1,engineer,0,1,1
206,1,hat,0,0,0
206,1,journal,0,0,0
206,1,kite,0,0,1
206,1,minister,1,1,0
206,1,owl,0,1,1
206,1,purse,0,1,1
206,1,python,0,0,0
206,1,rake,0,0,0
206,1,slipper,0,0,1
206,1,soldier,0,1,1
206,1,spider,0,0,0
206,1,stove,0,0,0
206,1,tent,1,1,1
206,1,trout,0,0,0
206,1,turtle,0,1,1
206,1,violin,1,0,1
206,1,whistle,0,1,0
206,1,wolf,0,1,1
209,1,baby,1,1,1
209,1,bee,1,1,1
209,1,doll,1,1,1
209,1,drum,0,1,1
209,1,duck,1,1,1
209,1,engineer,1,1,1
209,1,hat,1,1,1
209,1,journal,1,1,1
209,1,kite,1,1,1
209,1,minister,0,1,1
209,1,owl,1,1,1
209,1,purse,1,1,1
209,1,python,1,1,1
209,1,rake,1,1,1
209,1,slipper,0,1,1
209,1,soldier,1,1,1
209,1,spider,1,1,1
209,1,stove,1,1,1
209,1,tent,1,1,1
209,1,trout,1,0,1
209,1,turtle,1,1,1
209,1,violin,1,1,1
209,1,whistle,1,0,1
209,1,wolf,1,1,1
212,1,baby,0,0,1
212,1,bee,0,0,1
212,1,doll,0,1,1
212,1,drum,0,0,0
212,1,duck,1,1,1
212,1,engineer,0,0,0
212,1,hat,0,0,1
212,1,journal,0,0,0
212,1,kite,0,0,0
212,1,minister,1,1,1
212,1,owl,0,0,0
212,1,purse,0,0,0
212,1,python,1,1,1
212,1,rake,0,0,1
212,1,slipper,0,0,0
212,1,soldier,0,0,1
212,1,spider,0,0,0
212,1,stove,0,0,0
212,1,tent,0,0,0
212,1,trout,0,0,0
212,1,turtle,0,0,0
212,1,violin,0,1,0
212,1,whistle,0,0,1
212,1,wolf,0,0,0
215,1,baby,0,1,1
215,1,bee,0,0,0
215,1,doll,0,0,0
215,1,drum,0,0,0
215,1,duck,0,1,1
215,1,engineer,0,0,0
215,1,hat,0,0,0
215,1,journal,0,0,1
215,1,kite,0,0,0
215,1,minister,0,1,1
215,1,owl,0,0,0
215,1,purse,0,0,1
215,1,python,0,1,1
215,1,rake,0,0,0
215,1,slipper,0,0,0
215,1,soldier,0,0,0
215,1,spider,0,0,0
215,1,stove,0,0,0
215,1,tent,0,1,0
215,1,trout,0,0,1
215,1,turtle,0,0,0
215,1,violin,0,1,1
215,1,whistle,0,0,0
215,1,wolf,0,0,0
218,1,baby,0,0,0
218,1,bee,1,1,1
218,1,doll,0,1,1
218,1,drum,0,0,0
218,1,duck,0,0,0
218,1,engineer,0,1,1
218,1,hat,0,1,0
218,1,journal,0,0,0
218,1,kite,0,0,0
218,1,minister,0,0,1
218,1,owl,0,1,1
218,1,purse,0,0,1
218,1,python,1,1,0
218,1,rake,0,1,0
218,1,slipper,1,0,0
218,1,soldier,0,0,0
218,1,spider,0,0,0
218,1,stove,0,0,0
218,1,tent,0,0,1
218,1,trout,1,0,0
218,1,turtle,1,1,0
218,1,violin,0,0,0
218,1,whistle,0,0,0
218,1,wolf,0,0,1
221,1,baby,0,1,0
221,1,bee,0,0,1
221,1,doll,0,0,0
221,1,drum,0,0,1
221,1,duck,0,0,0
221,1,engineer,1,0,1
221,1,hat,0,0,1
221,1,journal,0,0,1
221,1,kite,1,1,0
221,1,minister,0,1,1
221,1,owl,0,0,0
221,1,purse,0,0,1
221,1,python,0,0,1
221,1,rake,0,0,0
221,1,slipper,0,0,0
221,1,soldier,0,0,0
221,1,spider,0,0,1
221,1,stove,0,0,0
221,1,tent,0,0,0
221,1,trout,0,0,0
221,1,turtle,0,0,0
221,1,violin,0,0,0
221,1,whistle,0,0,0
221,1,wolf,1,1,1
224,1,baby,0,1,1
224,1,bee,0,0,0
224,1,doll,1,1,1
224,1,drum,1,0,0
224,1,duck,0,1,1
224,1,engineer,0,1,1
224,1,hat,0,1,1
224,1,journal,0,0,0
224,1,kite,1,1,1
224,1,minister,1,1,1
224,1,owl,0,1,0
224,1,purse,0,1,1
224,1,python,1,1,0
224,1,rake,1,0,0
224,1,slipper,0,0,0
224,1,soldier,0,0,1
224,1,spider,0,0,1
224,1,stove,0,0,0
224,1,tent,0,0,0
224,1,trout,0,0,0
224,1,turtle,0,0,0
224,1,violin,0,0,0
224,1,whistle,0,1,1
224,1,wolf,1,0,1
227,1,baby,0,0,1
227,1,bee,1,1,1
227,1,doll,0,1,1
227,1,drum,0,0,1
227,1,duck,0,0,1
227,1,engineer,0,1,1
227,1,hat,1,1,1
227,1,journal,0,1,1
227,1,kite,0,0,1
227,1,minister,0,1,1
227,1,owl,0,0,0
227,1,purse,0,0,0
227,1,python,1,1,1
227,1,rake,0,0,1
227,1,slipper,1,1,0
227,1,soldier,1,1,1
227,1,spider,1,1,1
227,1,stove,0,0,0
227,1,tent,1,1,0
227,1,trout,0,0,0
227,1,turtle,0,1,0
227,1,violin,1,0,1
227,1,whistle,0,1,1
227,1,wolf,0,0,0
230,1,baby,1,1,1
230,1,bee,1,1,0
230,1,doll,1,1,0
230,1,drum,0,1,1
230,1,duck,1,1,1
230,1,engineer,1,1,1
230,1,hat,1,1,1
230,1,journal,1,1,1
230,1,kite,0,1,1
230,1,minister,1,1,1
230,1,owl,0,1,1
230,1,purse,0,1,1
230,1,python,1,0,1
230,1,rake,1,1,1
230,1,slipper,1,1,1
230,1,soldier,0,1,1
230,1,spider,1,0,0
230,1,stove,0,1,1
230,1,tent,0,1,1
230,1,trout,0,1,0
230,1,turtle,1,0,1
230,1,violin,0,1,1
230,1,whistle,0,1,1
230,1,wolf,0,1,1
233,1,baby,1,1,1
233,1,bee,1,1,1
233,1,doll,1,1,1
233,1,drum,0,0,0
233,1,duck,1,1,1
233,1,engineer,1,0,1
233,1,hat,0,1,1
233,1,journal,1,1,1
233,1,kite,0,0,1
233,1,minister,1,1,1
233,1,owl,0,0,1
233,1,purse,0,0,1
233,1,python,0,1,1
233,1,rake,1,1,0
233,1,slipper,0,1,1
233,1,soldier,1,0,1
233,1,spider,1,0,0
233,1,stove,0,1,0
233,1,tent,0,1,1
233,1,trout,0,1,0
233,1,turtle,0,0,1
233,1,violin,0,0,1
233,1,whistle,1,1,1
233,1,wolf,0,0,0
236,1,baby,1,1,1
236,1,bee,0,0,1
236,1,doll,0,0,1
236,1,drum,0,0,0
236,1,duck,0,1,0
236,1,engineer,0,0,1
236,1,hat,0,1,0
236,1,journal,0,0,1
236,1,kite,1,1,1
236,1,minister,1,1,0
236,1,owl,0,0,0
236,1,purse,0,1,1
236,1,python,1,1,0
236,1,rake,0,0,1
236,1,slipper,0,0,1
236,1,soldier,0,1,1
236,1,spider,0,1,1
236,1,stove,0,0,1
236,1,tent,0,0,1
236,1,trout,0,1,1
236,1,turtle,0,0,1
236,1,violin,0,0,0
236,1,whistle,0,0,0
236,1,wolf,0,1,1
239,1,baby,0,1,1
239,1,bee,0,0,1
239,1,doll,0,1,1
239,1,drum,0,0,0
239,1,duck,1,1,1
239,1,engineer,0,1,1
239,1,hat,0,0,0
239,1,journal,1,0,0
239,1,kite,1,0,1
239,1,minister,1,1,1
239,1,owl,0,1,1
239,1,purse,0,0,0
239,1,python,0,1,1
239,1,rake,0,1,1
239,1,slipper,0,0,0
239,1,soldier,0,0,0
239,1,spider,0,1,0
239,1,stove,0,0,1
239,1,tent,1,0,0
239,1,trout,0,0,0
239,1,turtle,0,0,1
239,1,violin,0,0,0
239,1,whistle,0,0,0
239,1,wolf,0,0,0
242,1,baby,0,0,1
242,1,bee,0,1,1
242,1,doll,0,1,1
242,1,drum,0,0,0
242,1,duck,0,1,1
242,1,engineer,0,0,1
242,1,hat,0,1,0
242,1,journal,0,0,1
242,1,kite,0,0,0
242,1,minister,0,1,1
242,1,owl,0,1,1
242,1,purse,0,1,1
242,1,python,0,1,0
242,1,rake,0,0,0
242,1,slipper,0,0,0
242,1,soldier,0,0,0
242,1,spider,0,0,0
242,1,stove,0,0,0
242,1,tent,0,0,0
242,1,trout,0,0,1
242,1,turtle,0,1,1
242,1,violin,0,1,1
242,1,whistle,0,1,0
242,1,wolf,0,1,1
245,1,baby,1,1,1
245,1,bee,0,0,0
245,1,doll,0,0,1
245,1,drum,0,0,0
245,1,duck,0,0,1
245,1,engineer,0,1,1
245,1,hat,1,1,1
245,1,journal,0,0,0
245,1,kite,0,1,1
245,1,minister,0,1,1
245,1,owl,1,1,0
245,1,purse,0,0,0
245,1,python,1,1,1
245,1,rake,0,0,0
245,1,slipper,1,0,0
245,1,soldier,1,1,0
245,1,spider,0,0,0
245,1,stove,0,0,0
245,1,tent,0,0,0
245,1,trout,0,0,1
245,1,turtle,0,1,0
245,1,violin,0,0,0
245,1,whistle,0,0,0
245,1,wolf,1,1,0
248,1,baby,0,1,0
248,1,bee,0,1,1
248,1,doll,1,1,0
248,1,drum,1,0,0
248,1,duck,0,0,0
248,1,engineer,1,1,1
248,1,hat,1,1,1
248,1,journal,1,0,0
248,1,kite,0,1,1
248,1,minister,1,1,1
248,1,owl,1,1,1
248,1,purse,1,0,1
248,1,python,1,1,1
248,1,rake,1,1,1
248,1,slipper,0,0,1
248,1,soldier,0,1,1
248,1,spider,1,1,0
248,1,stove,0,0,1
248,1,tent,1,1,1
248,1,trout,0,1,0
248,1,turtle,1,0,1
248,1,violin,0,1,1
248,1,whistle,0,1,1
248,1,wolf,0,1,1
251,1,baby,0,0,1
251,1,bee,0,1,1
251,1,doll,1,1,1
251,1,drum,0,1,1
251,1,duck,0,0,0
251,1,engineer,1,1,1
251,1,hat,0,0,1
251,1,journal,0,0,0
251,1,kite,1,1,1
251,1,minister,0,1,1
251,1,owl,1,1,1
251,1,purse,0,0,0
251,1,python,1,0,0
251,1,rake,0,1,1
251,1,slipper,0,0,0
251,1,soldier,0,0,0
251,1,spider,0,1,1
251,1,stove,0,0,0
251,1,tent,1,0,1
251,1,trout,1,1,1
251,1,turtle,1,1,1
251,1,violin,0,0,0
251,1,whistle,0,0,1
251,1,wolf,0,0,0
254,1,baby,1,1,0
254,1,bee,0,1,1
254,1,doll,0,0,1
254,1,drum,0,0,0
254,1,duck,0,0,0
254,1,engineer,1,1,0
254,1,hat,1,1,1
254,1,journal,0,0,0
254,1,kite,1,0,0
254,1,minister,0,0,0
254,1,owl,0,0,0
254,1,purse,1,0,1
254,1,python,0,0,0
254,1,rake,0,0,0
254,1,slipper,0,0,0
254,1,soldier,0,0,0
254,1,spider,0,1,0
254,1,stove,0,0,1
254,1,tent,0,0,0
254,1,trout,0,0,1
254,1,turtle,0,0,0
254,1,violin,0,1,0
254,1,whistle,0,1,1
254,1,wolf,1,1,0
257,1,baby,1,0,1
257,1,bee,0,1,1
257,1,doll,0,0,0
257,1,drum,1,1,1
257,1,duck,0,1,0
257,1,engineer,0,0,1
257,1,hat,1,1,1
257,1,journal,0,0,1
257,1,kite,1,1,1
257,1,minister,0,1,1
257,1,owl,0,1,1
257,1,purse,0,0,1
257,1,python,1,1,1
257,1,rake,0,1,1
257,1,slipper,0,1,1
257,1,soldier,1,0,1
257,1,spider,0,0,0
257,1,stove,0,0,1
257,1,tent,0,0,1
257,1,trout,0,1,1
257,1,turtle,0,1,1
257,1,violin,1,1,1
257,1,whistle,0,0,0
